"stu_id","name","age","school_name","school_level","grade","district_name","interest_category","growth_stage","fertilizer_count","harvested_fruit_count"
"STU_001","이지우","14","소양중학교","중학교","2","소양동","SW,바이오","새싹","2","1"
"STU_002","","","","중학교","3","석사동","바이오","새싹","10","2"
"STU_003","","","","초등학교","2","신사우동","AI","새싹","7","1"
"STU_004","","","","중학교","3","퇴계동","AI","열매","6","0"
"STU_005","","","","중학교","2","동면","AI","새싹","3","3"
"STU_006","","","","초등학교","1","신사우동","바이오","씨앗","4","0"
"STU_007","","","","중학교","1","신사우동","AI","씨앗","3","1"
"STU_008","","","","초등학교","2","동내면","AI","씨앗","2","2"
"STU_009","","","","초등학교","1","효자2동","SW","꽃","2","3"
"STU_010","","","","고등학교","1","퇴계동","바이오","새싹","3","2"
"STU_011","","","","초등학교","3","신북읍","바이오","꽃","4","0"
"STU_012","","","","중학교","2","퇴계동","AI","열매","8","1"
"STU_013","","","","중학교","2","동내면","AI","새싹","2","2"
"STU_014","","","","초등학교","6","소양동","바이오","씨앗","7","2"
"STU_015","","","","초등학교","3","근화동","SW","열매","5","1"
"STU_016","","","","중학교","1","석사동","바이오","본잎","9","1"
"STU_017","","","","중학교","1","후평2동","바이오","씨앗","5","3"
"STU_018","","","","초등학교","6","석사동","SW","본잎","5","2"
"STU_019","","","","중학교","2","석사동","SW","새싹","3","1"
"STU_020","","","","초등학교","3","동내면","AI","꽃","4","0"
"STU_021","","","","고등학교","3","동내면","AI","본잎","10","0"
"STU_022","","","","고등학교","1","후평3동","바이오","본잎","0","3"
"STU_023","","","","초등학교","4","퇴계동","SW","씨앗","1","3"
"STU_024","","","","고등학교","1","퇴계동","AI","새싹","6","3"
"STU_025","","","","초등학교","4","신사우동","바이오","새싹","9","1"
"STU_026","","","","중학교","2","후평3동","AI","본잎","0","3"
"STU_027","","","","고등학교","3","퇴계동","SW","본잎","8","3"
"STU_028","","","","초등학교","2","신동면","AI","씨앗","7","3"
"STU_029","","","","고등학교","2","동면","바이오","열매","4","3"
"STU_030","","","","중학교","1","후평2동","AI","본잎","8","0"
"STU_031","","","","초등학교","5","후평3동","바이오","본잎","5","2"
"STU_032","","","","중학교","3","강남동","AI","본잎","6","0"
"STU_033","","","","고등학교","3","석사동","AI","꽃","3","0"
"STU_034","","","","초등학교","5","근화동","AI","새싹","7","1"
"STU_035","","","","중학교","1","후평3동","AI","새싹","9","2"
"STU_036","","","","고등학교","3","석사동","SW","씨앗","9","1"
"STU_037","","","","고등학교","2","석사동","SW","본잎","10","2"
"STU_038","","","","중학교","3","소양동","바이오","본잎","8","2"
"STU_039","","","","초등학교","6","신사우동","AI","꽃","9","3"
"STU_040","","","","초등학교","4","동내면","AI","꽃","7","0"
"STU_041","","","","초등학교","6","동면","AI","새싹","8","1"
"STU_042","","","","초등학교","6","동면","SW","꽃","4","2"
"STU_043","","","","초등학교","6","퇴계동","바이오","새싹","1","0"
"STU_044","","","","초등학교","5","동면","SW","씨앗","9","2"
"STU_045","","","","고등학교","2","소양동","바이오","씨앗","7","0"
"STU_046","","","","중학교","3","동내면","SW","새싹","0","3"
"STU_047","","","","중학교","3","후평1동","SW","꽃","0","2"
"STU_048","","","","초등학교","5","후평2동","AI","본잎","10","3"
"STU_049","","","","초등학교","2","신사우동","SW","새싹","0","0"
"STU_050","","","","초등학교","3","효자1동","AI","꽃","2","2"
"STU_051","","","","고등학교","1","동면","SW","본잎","7","2"
"STU_052","","","","고등학교","2","효자2동","바이오","새싹","4","3"
"STU_053","","","","중학교","3","신사우동","바이오","꽃","2","3"
"STU_054","","","","고등학교","3","후평3동","AI","새싹","4","2"
"STU_055","","","","초등학교","2","강남동","AI","새싹","10","1"
"STU_056","","","","초등학교","5","신사우동","바이오","꽃","7","3"
"STU_057","","","","고등학교","3","후평2동","SW","열매","8","0"
"STU_058","","","","고등학교","1","석사동","AI","꽃","8","2"
"STU_059","","","","고등학교","2","후평1동","바이오","꽃","5","2"
"STU_060","","","","중학교","2","석사동","AI","열매","0","3"
"STU_061","","","","초등학교","4","강남동","SW","꽃","6","1"
"STU_062","","","","중학교","1","강남동","SW","본잎","4","3"
"STU_063","","","","초등학교","4","신사우동","AI","꽃","9","3"
